input_miRNA,base_name,Organism,Cluster ID,Accession,Chromosome,Strand,Start,Stop,Precursors in cluster,Spanning size of cluster
"hsa-mir-3120, mature,MIMAT0014982",hsa-mir-3120,Homo sapiens,hsa_10,MI0014136,chr1,+,172138808.0,172138888.0,3.0,5847.0
"hsa-mir-3120, mature,MIMAT0019198",hsa-mir-3120,Homo sapiens,hsa_10,MI0014136,chr1,+,172138808.0,172138888.0,3.0,5847.0
"hsa-mir-3121, mature,MIMAT0014983",hsa-mir-3121,,,,,,,,,
"hsa-mir-3121, mature,MIMAT0019199",hsa-mir-3121,,,,,,,,,
"hsa-mir-3124, mature,MIMAT0014986",hsa-mir-3124,,,,,,,,,
"hsa-mir-3124, mature,MIMAT0019200",hsa-mir-3124,,,,,,,,,
"hsa-mir-3125, mature,MIMAT0014988",hsa-mir-3125,,,,,,,,,
"hsa-mir-3126, mature,MIMAT0014989",hsa-mir-3126,,,,,,,,,
"hsa-mir-3126, mature,MIMAT0015377",hsa-mir-3126,,,,,,,,,
"hsa-mir-3127, mature,MIMAT0014990",hsa-mir-3127,,,,,,,,,
"hsa-mir-3127, mature,MIMAT0019201",hsa-mir-3127,,,,,,,,,
"hsa-mir-3128, mature,MIMAT0014991",hsa-mir-3128,,,,,,,,,
"hsa-mir-3129, mature,MIMAT0014992",hsa-mir-3129,,,,,,,,,
"hsa-mir-3129, mature,MIMAT0019202",hsa-mir-3129,,,,,,,,,
"hsa-mir-3130-1, mature,MIMAT0014994",hsa-mir-3130-1,Homo sapiens,hsa_80,MI0014147,chr2,-,206783234.0,206783308.0,2.0,75.0
"hsa-mir-3130-1, mature,MIMAT0014995",hsa-mir-3130-1,Homo sapiens,hsa_80,MI0014147,chr2,-,206783234.0,206783308.0,2.0,75.0
"hsa-mir-3131, mature,MIMAT0014996",hsa-mir-3131,,,,,,,,,
"hsa-mir-3132, mature,MIMAT0014997",hsa-mir-3132,,,,,,,,,
"hsa-mir-3133, mature,MIMAT0014998",hsa-mir-3133,,,,,,,,,
"hsa-mir-3135a, mature,MIMAT0015001",hsa-mir-3135a,,,,,,,,,
"hsa-mir-3136, mature,MIMAT0015003",hsa-mir-3136,,,,,,,,,
"hsa-mir-3136, mature,MIMAT0019203",hsa-mir-3136,,,,,,,,,
"hsa-mir-3137, mature,MIMAT0015005",hsa-mir-3137,,,,,,,,,
"hsa-mir-3138, mature,MIMAT0015006",hsa-mir-3138,,,,,,,,,
"hsa-mir-3139, mature,MIMAT0015007",hsa-mir-3139,,,,,,,,,
"hsa-mir-3140, mature,MIMAT0015008",hsa-mir-3140,,,,,,,,,
"hsa-mir-3140, mature,MIMAT0019204",hsa-mir-3140,,,,,,,,,
"hsa-mir-3141, mature,MIMAT0015010",hsa-mir-3141,,,,,,,,,
"hsa-mir-3142, mature,MIMAT0015011",hsa-mir-3142,,,,,,,,,
"hsa-mir-3143, mature,MIMAT0015012",hsa-mir-3143,,,,,,,,,
"hsa-mir-3144, mature,MIMAT0015014",hsa-mir-3144,,,,,,,,,
"hsa-mir-3144, mature,MIMAT0015015",hsa-mir-3144,,,,,,,,,
"hsa-mir-3145, mature,MIMAT0015016",hsa-mir-3145,,,,,,,,,
"hsa-mir-3145, mature,MIMAT0019205",hsa-mir-3145,,,,,,,,,
"hsa-mir-3146, mature,MIMAT0015018",hsa-mir-3146,,,,,,,,,
"hsa-mir-3147, mature,MIMAT0015019",hsa-mir-3147,,,,,,,,,
"hsa-mir-3148, mature,MIMAT0015021",hsa-mir-3148,,,,,,,,,
"hsa-mir-3149, mature,MIMAT0015022",hsa-mir-3149,,,,,,,,,
"hsa-mir-3150a, mature,MIMAT0015023",hsa-mir-3150a,Homo sapiens,hsa_122,MI0014177,chr8,+,95072914.0,95072993.0,2.0,83.0
"hsa-mir-3150a, mature,MIMAT0019206",hsa-mir-3150a,Homo sapiens,hsa_122,MI0014177,chr8,+,95072914.0,95072993.0,2.0,83.0
"hsa-mir-3150b, mature,MIMAT0018194",hsa-mir-3150b,Homo sapiens,hsa_122,MI0016426,chr8,-,95072911.0,95072996.0,2.0,83.0
"hsa-mir-3150b, mature,MIMAT0019226",hsa-mir-3150b,Homo sapiens,hsa_122,MI0016426,chr8,-,95072911.0,95072996.0,2.0,83.0
"hsa-mir-3151, mature,MIMAT0015024",hsa-mir-3151,,,,,,,,,
"hsa-mir-3152, mature,MIMAT0015025",hsa-mir-3152,,,,,,,,,
"hsa-mir-3152, mature,MIMAT0019207",hsa-mir-3152,,,,,,,,,
"hsa-mir-3153, mature,MIMAT0015026",hsa-mir-3153,,,,,,,,,
"hsa-mir-3154, mature,MIMAT0015028",hsa-mir-3154,Homo sapiens,hsa_133,MI0014182,chr9,-,128244947.0,128245030.0,2.0,310.0
"hsa-mir-3155a, mature,MIMAT0015029",hsa-mir-3155a,Homo sapiens,hsa_14,MI0014183,chr10,+,6152196.0,6152277.0,2.0,67.0
"hsa-mir-3155b, mature,MIMAT0019012",hsa-mir-3155b,Homo sapiens,hsa_14,MI0016839,chr10,-,6152207.0,6152262.0,2.0,67.0
"hsa-mir-3156-1, mature,MIMAT0015030",hsa-mir-3156-1,,,,,,,,,
"hsa-mir-3156-1, mature,MIMAT0019209",hsa-mir-3156-1,,,,,,,,,
"hsa-mir-3157, mature,MIMAT0015031",hsa-mir-3157,,,,,,,,,
"hsa-mir-3157, mature,MIMAT0019210",hsa-mir-3157,,,,,,,,,
"hsa-mir-3158-1, mature,MIMAT0015032",hsa-mir-3158-1,Homo sapiens,hsa_16,MI0014186,chr10,+,101601417.0,101601497.0,2.0,81.0
"hsa-mir-3158-1, mature,MIMAT0019211",hsa-mir-3158-1,Homo sapiens,hsa_16,MI0014186,chr10,+,101601417.0,101601497.0,2.0,81.0
"hsa-mir-3159, mature,MIMAT0015033",hsa-mir-3159,,,,,,,,,
"hsa-mir-3160-1, mature,MIMAT0015034",hsa-mir-3160-1,Homo sapiens,hsa_18,MI0014189,chr11,-,46451805.0,46451889.0,2.0,83.0
"hsa-mir-3160-1, mature,MIMAT0019212",hsa-mir-3160-1,Homo sapiens,hsa_18,MI0014189,chr11,-,46451805.0,46451889.0,2.0,83.0
"hsa-mir-3161, mature,MIMAT0015035",hsa-mir-3161,,,,,,,,,
"hsa-mir-3162, mature,MIMAT0015036",hsa-mir-3162,,,,,,,,,
"hsa-mir-3162, mature,MIMAT0019213",hsa-mir-3162,,,,,,,,,
"hsa-mir-3163, mature,MIMAT0015037",hsa-mir-3163,,,,,,,,,
"hsa-mir-3164, mature,MIMAT0015038",hsa-mir-3164,,,,,,,,,
"hsa-mir-3165, mature,MIMAT0015039",hsa-mir-3165,,,,,,,,,
"hsa-mir-3166, mature,MIMAT0015040",hsa-mir-3166,,,,,,,,,
"hsa-mir-3167, mature,MIMAT0015042",hsa-mir-3167,,,,,,,,,
"hsa-mir-3169, mature,MIMAT0015044",hsa-mir-3169,,,,,,,,,
"hsa-mir-3170, mature,MIMAT0015045",hsa-mir-3170,,,,,,,,,
"hsa-mir-3171, mature,MIMAT0015046",hsa-mir-3171,,,,,,,,,
"hsa-mir-3173, mature,MIMAT0015048",hsa-mir-3173,,,,,,,,,
"hsa-mir-3173, mature,MIMAT0019214",hsa-mir-3173,,,,,,,,,
"hsa-mir-3174, mature,MIMAT0015051",hsa-mir-3174,,,,,,,,,
"hsa-mir-3175, mature,MIMAT0015052",hsa-mir-3175,,,,,,,,,
"hsa-mir-3176, mature,MIMAT0015053",hsa-mir-3176,Homo sapiens,hsa_39,MI0014210,chr16,+,543277.0,543366.0,2.0,8051.0
"hsa-mir-3177, mature,MIMAT0015054",hsa-mir-3177,,,,,,,,,
"hsa-mir-3177, mature,MIMAT0019215",hsa-mir-3177,,,,,,,,,
"hsa-mir-3178, mature,MIMAT0015055",hsa-mir-3178,,,,,,,,,
"hsa-mir-3180-5, mature,MIMAT0018178",hsa-mir-3180-5,Homo sapiens,hsa_40,MI0016409,chr16,-,2135977.0,2136129.0,2.0,3011.0
"hsa-mir-3181, mature,MIMAT0015061",hsa-mir-3181,,,,,,,,,
"hsa-mir-3182, mature,MIMAT0015062",hsa-mir-3182,,,,,,,,,
"hsa-mir-3183, mature,MIMAT0015063",hsa-mir-3183,,,,,,,,,
"hsa-mir-3184, mature,MIMAT0015064",hsa-mir-3184,Homo sapiens,hsa_55,MI0014226,chr17,-,30117086.0,30117160.0,2.0,82.0
"hsa-mir-3184, mature,MIMAT0022731",hsa-mir-3184,Homo sapiens,hsa_55,MI0014226,chr17,-,30117086.0,30117160.0,2.0,82.0
"hsa-mir-3185, mature,MIMAT0015065",hsa-mir-3185,,,,,,,,,
"hsa-mir-3186, mature,MIMAT0015067",hsa-mir-3186,,,,,,,,,
"hsa-mir-3187, mature,MIMAT0015069",hsa-mir-3187,Homo sapiens,hsa_65,MI0014231,chr19,+,813584.0,813653.0,2.0,8714.0
"hsa-mir-3187, mature,MIMAT0019216",hsa-mir-3187,Homo sapiens,hsa_65,MI0014231,chr19,+,813584.0,813653.0,2.0,8714.0
"hsa-mir-3188, mature,MIMAT0015070",hsa-mir-3188,,,,,,,,,
"hsa-mir-3189, mature,MIMAT0015071",hsa-mir-3189,,,,,,,,,
"hsa-mir-3189, mature,MIMAT0019217",hsa-mir-3189,,,,,,,,,
"hsa-mir-3190, mature,MIMAT0015073",hsa-mir-3190,Homo sapiens,hsa_71,MI0014235,chr19,+,47226942.0,47227021.0,2.0,78.0
"hsa-mir-3190, mature,MIMAT0022839",hsa-mir-3190,Homo sapiens,hsa_71,MI0014235,chr19,+,47226942.0,47227021.0,2.0,78.0
"hsa-mir-3191, mature,MIMAT0015075",hsa-mir-3191,Homo sapiens,hsa_71,MI0014236,chr19,-,47226944.0,47227019.0,2.0,78.0
"hsa-mir-3191, mature,MIMAT0022732",hsa-mir-3191,Homo sapiens,hsa_71,MI0014236,chr19,-,47226944.0,47227019.0,2.0,78.0
"hsa-mir-3192, mature,MIMAT0015076",hsa-mir-3192,,,,,,,,,
"hsa-mir-3192, mature,MIMAT0027027",hsa-mir-3192,,,,,,,,,
"hsa-mir-3193, mature,MIMAT0015077",hsa-mir-3193,,,,,,,,,
"hsa-mir-3194, mature,MIMAT0015078",hsa-mir-3194,,,,,,,,,
"hsa-mir-3194, mature,MIMAT0019218",hsa-mir-3194,,,,,,,,,
"hsa-mir-3195, mature,MIMAT0015079",hsa-mir-3195,,,,,,,,,
"hsa-mir-3196, mature,MIMAT0015080",hsa-mir-3196,,,,,,,,,
"hsa-mir-3197, mature,MIMAT0015082",hsa-mir-3197,,,,,,,,,
"hsa-mir-3198-1, mature,MIMAT0015083",hsa-mir-3198-1,,,,,,,,,
"hsa-mir-3199-1, mature,MIMAT0015084",hsa-mir-3199-1,Homo sapiens,hsa_92,MI0014247,chr22,-,27920525.0,27920612.0,2.0,87.0
"hsa-mir-32, mature,MIMAT0000090",hsa-mir-32,,,,,,,,,
"hsa-mir-32, mature,MIMAT0004505",hsa-mir-32,,,,,,,,,
"hsa-mir-3200, mature,MIMAT0015085",hsa-mir-3200,,,,,,,,,
"hsa-mir-3200, mature,MIMAT0017392",hsa-mir-3200,,,,,,,,,
"hsa-mir-3202-1, mature,MIMAT0015089",hsa-mir-3202-1,Homo sapiens,hsa_153,MI0014252,chrX,+,153981097.0,153981177.0,2.0,80.0
"hsa-mir-320a, mature,MIMAT0000510",hsa-mir-320a,,,,,,,,,
"hsa-mir-320b-1, mature,MIMAT0005792",hsa-mir-320b-1,,,,,,,,,
"hsa-mir-320c-1, mature,MIMAT0005793",hsa-mir-320c-1,,,,,,,,,
"hsa-mir-320d-1, mature,MIMAT0006764",hsa-mir-320d-1,,,,,,,,,
"hsa-mir-320e, mature,MIMAT0015072",hsa-mir-320e,,,,,,,,,
"hsa-mir-323a, mature,MIMAT0000755",hsa-mir-323a,Homo sapiens,hsa_34,MI0000807,chr14,+,101025732.0,101025817.0,42.0,44736.0
"hsa-mir-323a, mature,MIMAT0004696",hsa-mir-323a,Homo sapiens,hsa_34,MI0000807,chr14,+,101025732.0,101025817.0,42.0,44736.0
"hsa-mir-323b, mature,MIMAT0001630",hsa-mir-323b,Homo sapiens,hsa_34,MI0014206,chr14,+,101056219.0,101056300.0,42.0,44736.0
"hsa-mir-323b, mature,MIMAT0015050",hsa-mir-323b,Homo sapiens,hsa_34,MI0014206,chr14,+,101056219.0,101056300.0,42.0,44736.0
"hsa-mir-324, mature,MIMAT0000761",hsa-mir-324,,,,,,,,,
"hsa-mir-324, mature,MIMAT0000762",hsa-mir-324,,,,,,,,,
"hsa-mir-326, mature,MIMAT0000756",hsa-mir-326,,,,,,,,,
"hsa-mir-328, mature,MIMAT0000752",hsa-mir-328,,,,,,,,,
"hsa-mir-328, mature,MIMAT0026486",hsa-mir-328,,,,,,,,,
"hsa-mir-329-1, mature,MIMAT0001629",hsa-mir-329-1,Homo sapiens,hsa_34,MI0001725,chr14,+,101026785.0,101026864.0,42.0,44736.0
"hsa-mir-329-1, mature,MIMAT0026555",hsa-mir-329-1,Homo sapiens,hsa_34,MI0001725,chr14,+,101026785.0,101026864.0,42.0,44736.0
"hsa-mir-330, mature,MIMAT0000751",hsa-mir-330,,,,,,,,,
"hsa-mir-330, mature,MIMAT0004693",hsa-mir-330,,,,,,,,,
"hsa-mir-331, mature,MIMAT0000760",hsa-mir-331,Homo sapiens,hsa_29,MI0000812,chr12,+,95308420.0,95308513.0,2.0,1565.0
"hsa-mir-331, mature,MIMAT0004700",hsa-mir-331,Homo sapiens,hsa_29,MI0000812,chr12,+,95308420.0,95308513.0,2.0,1565.0
"hsa-mir-335, mature,MIMAT0000765",hsa-mir-335,,,,,,,,,
"hsa-mir-335, mature,MIMAT0004703",hsa-mir-335,,,,,,,,,
"hsa-mir-337, mature,MIMAT0000754",hsa-mir-337,Homo sapiens,hsa_33,MI0000806,chr14,+,100874493.0,100874585.0,8.0,15724.0
"hsa-mir-337, mature,MIMAT0004695",hsa-mir-337,Homo sapiens,hsa_33,MI0000806,chr14,+,100874493.0,100874585.0,8.0,15724.0
"hsa-mir-338, mature,MIMAT0000763",hsa-mir-338,Homo sapiens,hsa_61,MI0000814,chr17,-,81125883.0,81125949.0,4.0,8033.0
"hsa-mir-338, mature,MIMAT0004701",hsa-mir-338,Homo sapiens,hsa_61,MI0000814,chr17,-,81125883.0,81125949.0,4.0,8033.0
"hsa-mir-339, mature,MIMAT0000764",hsa-mir-339,,,,,,,,,
"hsa-mir-339, mature,MIMAT0004702",hsa-mir-339,,,,,,,,,
"hsa-mir-33a, mature,MIMAT0000091",hsa-mir-33a,,,,,,,,,
"hsa-mir-33a, mature,MIMAT0004506",hsa-mir-33a,,,,,,,,,
"hsa-mir-33b, mature,MIMAT0003301",hsa-mir-33b,Homo sapiens,hsa_53,MI0003646,chr17,-,17813836.0,17813931.0,2.0,452.0
"hsa-mir-33b, mature,MIMAT0004811",hsa-mir-33b,Homo sapiens,hsa_53,MI0003646,chr17,-,17813836.0,17813931.0,2.0,452.0
"hsa-mir-340, mature,MIMAT0000750",hsa-mir-340,,,,,,,,,
"hsa-mir-340, mature,MIMAT0004692",hsa-mir-340,,,,,,,,,
"hsa-mir-342, mature,MIMAT0000753",hsa-mir-342,Homo sapiens,hsa_32,MI0000805,chr14,+,100109655.0,100109753.0,2.0,335.0
"hsa-mir-342, mature,MIMAT0004694",hsa-mir-342,Homo sapiens,hsa_32,MI0000805,chr14,+,100109655.0,100109753.0,2.0,335.0
"hsa-mir-345, mature,MIMAT0000772",hsa-mir-345,,,,,,,,,
"hsa-mir-345, mature,MIMAT0022698",hsa-mir-345,,,,,,,,,
"hsa-mir-346, mature,MIMAT0000773",hsa-mir-346,,,,,,,,,
"hsa-mir-34a, mature,MIMAT0000255",hsa-mir-34a,,,,,,,,,
"hsa-mir-34a, mature,MIMAT0004557",hsa-mir-34a,,,,,,,,,
"hsa-mir-34b, mature,MIMAT0000685",hsa-mir-34b,Homo sapiens,hsa_22,MI0000742,chr11,+,111512938.0,111513021.0,2.0,578.0
"hsa-mir-34b, mature,MIMAT0004676",hsa-mir-34b,Homo sapiens,hsa_22,MI0000742,chr11,+,111512938.0,111513021.0,2.0,578.0
"hsa-mir-34c, mature,MIMAT0000686",hsa-mir-34c,Homo sapiens,hsa_22,MI0000743,chr11,+,111513439.0,111513515.0,2.0,578.0
"hsa-mir-34c, mature,MIMAT0004677",hsa-mir-34c,Homo sapiens,hsa_22,MI0000743,chr11,+,111513439.0,111513515.0,2.0,578.0
"hsa-mir-3529, mature,MIMAT0019828",hsa-mir-3529,Homo sapiens,hsa_38,MI0017351,chr15,-,88611847.0,88611924.0,3.0,3818.0
"hsa-mir-3529, mature,MIMAT0022741",hsa-mir-3529,Homo sapiens,hsa_38,MI0017351,chr15,-,88611847.0,88611924.0,3.0,3818.0
"hsa-mir-3591, mature,MIMAT0019876",hsa-mir-3591,Homo sapiens,hsa_64,MI0017383,chr18,-,58451080.0,58451152.0,2.0,79.0
"hsa-mir-3591, mature,MIMAT0019877",hsa-mir-3591,Homo sapiens,hsa_64,MI0017383,chr18,-,58451080.0,58451152.0,2.0,79.0
"hsa-mir-3605, mature,MIMAT0017981",hsa-mir-3605,,,,,,,,,
"hsa-mir-3605, mature,MIMAT0017982",hsa-mir-3605,,,,,,,,,
"hsa-mir-3606, mature,MIMAT0017983",hsa-mir-3606,,,,,,,,,
"hsa-mir-3606, mature,MIMAT0022965",hsa-mir-3606,,,,,,,,,
"hsa-mir-3607, mature,MIMAT0017984",hsa-mir-3607,,,,,,,,,
"hsa-mir-3607, mature,MIMAT0017985",hsa-mir-3607,,,,,,,,,
"hsa-mir-3609, mature,MIMAT0017986",hsa-mir-3609,,,,,,,,,
"hsa-mir-361, mature,MIMAT0000703",hsa-mir-361,,,,,,,,,
"hsa-mir-361, mature,MIMAT0004682",hsa-mir-361,,,,,,,,,
"hsa-mir-3610, mature,MIMAT0017987",hsa-mir-3610,,,,,,,,,
"hsa-mir-3611, mature,MIMAT0017988",hsa-mir-3611,,,,,,,,,
"hsa-mir-3612, mature,MIMAT0017989",hsa-mir-3612,,,,,,,,,
"hsa-mir-3613, mature,MIMAT0017990",hsa-mir-3613,,,,,,,,,
"hsa-mir-3613, mature,MIMAT0017991",hsa-mir-3613,,,,,,,,,
"hsa-mir-3614, mature,MIMAT0017992",hsa-mir-3614,,,,,,,,,
"hsa-mir-3614, mature,MIMAT0017993",hsa-mir-3614,,,,,,,,,
"hsa-mir-3615, mature,MIMAT0017994",hsa-mir-3615,,,,,,,,,
"hsa-mir-3616, mature,MIMAT0017995",hsa-mir-3616,,,,,,,,,
"hsa-mir-3616, mature,MIMAT0017996",hsa-mir-3616,,,,,,,,,
"hsa-mir-3617, mature,MIMAT0017997",hsa-mir-3617,,,,,,,,,
"hsa-mir-3617, mature,MIMAT0022966",hsa-mir-3617,,,,,,,,,
"hsa-mir-3618, mature,MIMAT0017998",hsa-mir-3618,Homo sapiens,hsa_90,MI0016008,chr22,+,20085746.0,20085833.0,2.0,397.0
"hsa-mir-3619, mature,MIMAT0017999",hsa-mir-3619,,,,,,,,,
"hsa-mir-3619, mature,MIMAT0019219",hsa-mir-3619,,,,,,,,,
"hsa-mir-362, mature,MIMAT0000705",hsa-mir-362,Homo sapiens,hsa_137,MI0000762,chrX,+,50008964.0,50009028.0,8.0,11536.0
"hsa-mir-362, mature,MIMAT0004683",hsa-mir-362,Homo sapiens,hsa_137,MI0000762,chrX,+,50008964.0,50009028.0,8.0,11536.0
"hsa-mir-3620, mature,MIMAT0018001",hsa-mir-3620,,,,,,,,,
"hsa-mir-3620, mature,MIMAT0022967",hsa-mir-3620,,,,,,,,,
"hsa-mir-3621, mature,MIMAT0018002",hsa-mir-3621,,,,,,,,,
"hsa-mir-3622a, mature,MIMAT0018003",hsa-mir-3622a,Homo sapiens,hsa_119,MI0016013,chr8,+,27701677.0,27701759.0,2.0,87.0
"hsa-mir-3622a, mature,MIMAT0018004",hsa-mir-3622a,Homo sapiens,hsa_119,MI0016013,chr8,+,27701677.0,27701759.0,2.0,87.0
"hsa-mir-3622b, mature,MIMAT0018005",hsa-mir-3622b,Homo sapiens,hsa_119,MI0016014,chr8,-,27701673.0,27701767.0,2.0,87.0
"hsa-mir-3622b, mature,MIMAT0018006",hsa-mir-3622b,Homo sapiens,hsa_119,MI0016014,chr8,-,27701673.0,27701767.0,2.0,87.0
"hsa-mir-363, mature,MIMAT0000707",hsa-mir-363,Homo sapiens,hsa_144,MI0000764,chrX,-,134169378.0,134169452.0,6.0,901.0
"hsa-mir-363, mature,MIMAT0003385",hsa-mir-363,Homo sapiens,hsa_144,MI0000764,chrX,-,134169378.0,134169452.0,6.0,901.0
"hsa-mir-3646, mature,MIMAT0018065",hsa-mir-3646,,,,,,,,,
"hsa-mir-3649, mature,MIMAT0018069",hsa-mir-3649,,,,,,,,,
"hsa-mir-3650, mature,MIMAT0018070",hsa-mir-3650,,,,,,,,,
"hsa-mir-3651, mature,MIMAT0018071",hsa-mir-3651,,,,,,,,,
"hsa-mir-3652, mature,MIMAT0018072",hsa-mir-3652,,,,,,,,,
"hsa-mir-3653, mature,MIMAT0018073",hsa-mir-3653,,,,,,,,,
"hsa-mir-3653, mature,MIMAT0032110",hsa-mir-3653,,,,,,,,,
"hsa-mir-3654, mature,MIMAT0018074",hsa-mir-3654,,,,,,,,,
"hsa-mir-3655, mature,MIMAT0018075",hsa-mir-3655,,,,,,,,,
"hsa-mir-3656, mature,MIMAT0018076",hsa-mir-3656,,,,,,,,,
"hsa-mir-3657, mature,MIMAT0018077",hsa-mir-3657,,,,,,,,,
"hsa-mir-3659, mature,MIMAT0018080",hsa-mir-3659,,,,,,,,,
"hsa-mir-365a, mature,MIMAT0000710",hsa-mir-365a,Homo sapiens,hsa_42,MI0000767,chr16,+,14309285.0,14309371.0,2.0,5405.0
"hsa-mir-365a, mature,MIMAT0009199",hsa-mir-365a,Homo sapiens,hsa_42,MI0000767,chr16,+,14309285.0,14309371.0,2.0,5405.0
"hsa-mir-365b, mature,MIMAT0022833",hsa-mir-365b,Homo sapiens,hsa_56,MI0000769,chr17,+,31575411.0,31575521.0,2.0,253.0
"hsa-mir-365b, mature,MIMAT0022834",hsa-mir-365b,Homo sapiens,hsa_56,MI0000769,chr17,+,31575411.0,31575521.0,2.0,253.0
"hsa-mir-3660, mature,MIMAT0018081",hsa-mir-3660,,,,,,,,,
"hsa-mir-3661, mature,MIMAT0018082",hsa-mir-3661,,,,,,,,,
"hsa-mir-3662, mature,MIMAT0018083",hsa-mir-3662,,,,,,,,,
"hsa-mir-3663, mature,MIMAT0018084",hsa-mir-3663,,,,,,,,,
"hsa-mir-3663, mature,MIMAT0018085",hsa-mir-3663,,,,,,,,,
"hsa-mir-3664, mature,MIMAT0018086",hsa-mir-3664,,,,,,,,,
"hsa-mir-3664, mature,MIMAT0019220",hsa-mir-3664,,,,,,,,,
"hsa-mir-3667, mature,MIMAT0018089",hsa-mir-3667,,,,,,,,,
"hsa-mir-3667, mature,MIMAT0018090",hsa-mir-3667,,,,,,,,,
"hsa-mir-3668, mature,MIMAT0018091",hsa-mir-3668,,,,,,,,,
"hsa-mir-367, mature,MIMAT0000719",hsa-mir-367,Homo sapiens,hsa_99,MI0000775,chr4,-,112647874.0,112647941.0,5.0,684.0
"hsa-mir-367, mature,MIMAT0004686",hsa-mir-367,Homo sapiens,hsa_99,MI0000775,chr4,-,112647874.0,112647941.0,5.0,684.0
"hsa-mir-3672, mature,MIMAT0018095",hsa-mir-3672,,,,,,,,,
"hsa-mir-3675, mature,MIMAT0018098",hsa-mir-3675,,,,,,,,,
"hsa-mir-3675, mature,MIMAT0018099",hsa-mir-3675,,,,,,,,,
"hsa-mir-3677, mature,MIMAT0018101",hsa-mir-3677,Homo sapiens,hsa_41,MI0016078,chr16,+,2270713.0,2270772.0,3.0,3979.0
"hsa-mir-3677, mature,MIMAT0019221",hsa-mir-3677,Homo sapiens,hsa_41,MI0016078,chr16,+,2270713.0,2270772.0,3.0,3979.0
"hsa-mir-3678, mature,MIMAT0018102",hsa-mir-3678,,,,,,,,,
"hsa-mir-3678, mature,MIMAT0018103",hsa-mir-3678,,,,,,,,,
"hsa-mir-3679, mature,MIMAT0018104",hsa-mir-3679,,,,,,,,,
"hsa-mir-3679, mature,MIMAT0018105",hsa-mir-3679,,,,,,,,,
"hsa-mir-3680-1, mature,MIMAT0018106",hsa-mir-3680-1,,,,,,,,,
"hsa-mir-3680-1, mature,MIMAT0018107",hsa-mir-3680-1,,,,,,,,,
"hsa-mir-3681, mature,MIMAT0018108",hsa-mir-3681,,,,,,,,,
"hsa-mir-3681, mature,MIMAT0018109",hsa-mir-3681,,,,,,,,,
"hsa-mir-3682, mature,MIMAT0018110",hsa-mir-3682,,,,,,,,,
"hsa-mir-3682, mature,MIMAT0019222",hsa-mir-3682,,,,,,,,,
"hsa-mir-3683, mature,MIMAT0018111",hsa-mir-3683,,,,,,,,,
"hsa-mir-3684, mature,MIMAT0018112",hsa-mir-3684,,,,,,,,,
"hsa-mir-3685, mature,MIMAT0018113",hsa-mir-3685,Homo sapiens,hsa_29,MI0016086,chr12,+,95309923.0,95309984.0,2.0,1565.0
"hsa-mir-3688-1, mature,MIMAT0018116",hsa-mir-3688-1,Homo sapiens,hsa_100,MI0016089,chr4,-,159128802.0,159128894.0,2.0,90.0
"hsa-mir-3688-2, mature,MIMAT0019223",hsa-mir-3688-2,Homo sapiens,hsa_100,MI0017447,chr4,+,159128805.0,159128891.0,2.0,90.0
"hsa-mir-3689a, mature,MIMAT0018117",hsa-mir-3689a,Homo sapiens,hsa_135,MI0016090,chr9,-,134849487.0,134849564.0,7.0,1510.0
"hsa-mir-3689b, mature,MIMAT0018180",hsa-mir-3689b,Homo sapiens,hsa_135,MI0016411,chr9,-,134850125.0,134850272.0,7.0,1510.0
"hsa-mir-3689e, mature,MIMAT0019009",hsa-mir-3689e,Homo sapiens,hsa_135,MI0016836,chr9,-,134850570.0,134850641.0,7.0,1510.0
"hsa-mir-3689f, mature,MIMAT0019010",hsa-mir-3689f,Homo sapiens,hsa_135,MI0016837,chr9,-,134850742.0,134850807.0,7.0,1510.0
"hsa-mir-369, mature,MIMAT0000721",hsa-mir-369,Homo sapiens,hsa_34,MI0000777,chr14,+,101065598.0,101065667.0,42.0,44736.0
"hsa-mir-369, mature,MIMAT0001621",hsa-mir-369,Homo sapiens,hsa_34,MI0000777,chr14,+,101065598.0,101065667.0,42.0,44736.0
"hsa-mir-3690-1, mature,MIMAT0018119",hsa-mir-3690-1,,,,,,,,,
"hsa-mir-3691, mature,MIMAT0018120",hsa-mir-3691,,,,,,,,,
"hsa-mir-3691, mature,MIMAT0019224",hsa-mir-3691,,,,,,,,,
"hsa-mir-3692, mature,MIMAT0018121",hsa-mir-3692,,,,,,,,,
"hsa-mir-3692, mature,MIMAT0018122",hsa-mir-3692,,,,,,,,,
"hsa-mir-370, mature,MIMAT0000722",hsa-mir-370,,,,,,,,,
"hsa-mir-370, mature,MIMAT0026483",hsa-mir-370,,,,,,,,,
"hsa-mir-3714, mature,MIMAT0018165",hsa-mir-3714,,,,,,,,,
"hsa-mir-371a, mature,MIMAT0000723",hsa-mir-371a,Homo sapiens,hsa_74,MI0000779,chr19,+,53787675.0,53787741.0,4.0,1099.0
"hsa-mir-371a, mature,MIMAT0004687",hsa-mir-371a,Homo sapiens,hsa_74,MI0000779,chr19,+,53787675.0,53787741.0,4.0,1099.0
"hsa-mir-371b, mature,MIMAT0019892",hsa-mir-371b,Homo sapiens,hsa_74,MI0017393,chr19,-,53787677.0,53787742.0,4.0,1099.0
